,Goodreads_BookID,Genres,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,BookID
33,19501,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']",Nonfiction,Memoir,Travel,Biography,Romance,Chick Lit,Spirituality,40.0
34,4667024,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook']",Fiction,Historical Fiction,Historical,Adult,Adult Fiction,Contemporary,Audiobook,31.0
35,890,"['Fiction', 'Classics', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']",Fiction,Classics,School,Historical Fiction,Literature,Read For School,Novels,32.0
36,10818853,"['Romance', 'Fiction', 'Erotica', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']",Romance,Fiction,Erotica,BDSM,Adult,Contemporary,Contemporary Romance,34.0
37,1934,"['Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens']",Fiction,Historical Fiction,Young Adult,Romance,Historical,Literature,Childrens,42.0
38,865,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help']",Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,35.0
39,14050,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']",Fiction,Romance,Fantasy,Time Travel,Science Fiction,Contemporary,Adult,38.0
40,3636,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']",Young Adult,Fiction,Classics,Dystopia,Science Fiction,Fantasy,School,36.0
41,15931,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Classics', 'Adult Fiction']",Romance,Fiction,Chick Lit,Contemporary,Adult,Classics,Adult Fiction,44.0
42,28187,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",Fantasy,Young Adult,Mythology,Fiction,Middle Grade,Adventure,Greek Mythology,41.0
43,19063,"['Historical Fiction', 'Fiction', 'Young Adult', 'Classics', 'Historical', 'War', 'World War II']",Historical Fiction,Fiction,Young Adult,Classics,Historical,War,World War II,47.0
44,30119,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Humor', 'Young Adult', 'Picture Books']",Poetry,Childrens,Classics,Fiction,Humor,Young Adult,Picture Books,50.0
45,113436,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']",Fantasy,Young Adult,Fiction,Dragons,Adventure,Magic,High Fantasy,53.0
46,10210,"['Fiction', 'Classics', 'Historical Fiction', 'Gothic', 'Literature', 'Historical', 'School']",Fiction,Classics,Historical Fiction,Gothic,Literature,Historical,School,43.0
47,4214,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Magical Realism', 'Novels', 'Literature']",Fiction,Fantasy,Classics,Adventure,Magical Realism,Novels,Literature,45.0
48,43641,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']",Fiction,Historical Fiction,Romance,Historical,Adult,Adult Fiction,Contemporary,46.0
49,4381,"['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'School', 'Literature', 'Novels']",Fiction,Science Fiction,Dystopia,Classics,School,Literature,Novels,48.0
50,1162543,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']",Fantasy,Young Adult,Romance,Vampires,Fiction,Paranormal,Paranormal Romance,56.0
51,37435,"['Fiction', 'Historical Fiction', 'Classics', 'Young Adult', 'Historical', 'Contemporary', 'Adult Fiction']",Fiction,Historical Fiction,Classics,Young Adult,Historical,Contemporary,Adult Fiction,57.0
52,2956,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Adventure', 'Young Adult', 'School']",Fiction,Classics,Historical Fiction,Literature,Adventure,Young Adult,School,58.0
53,49041,"['Fantasy', 'Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance']",Fantasy,Young Adult,Romance,Vampires,Fiction,Paranormal,Paranormal Romance,49.0
54,428263,"['Young Adult', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural']",Young Adult,Romance,Vampires,Fiction,Paranormal,Paranormal Romance,Supernatural,52.0
55,11,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Audiobook', 'Science Fiction Fantasy']",Science Fiction,Fiction,Humor,Fantasy,Comedy,Audiobook,Science Fiction Fantasy,54.0
56,5129,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']",Classics,Fiction,Science Fiction,Dystopia,Literature,Novels,School,55.0
57,256683,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']",Fantasy,Young Adult,Romance,Paranormal,Urban Fantasy,Fiction,Vampires,51.0
58,119322,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Middle Grade', 'Science Fiction']",Fantasy,Young Adult,Fiction,Childrens,Adventure,Middle Grade,Science Fiction,62.0
59,22557272,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']",Fiction,Mystery,Thriller,Mystery Thriller,Crime,Suspense,Contemporary,61.0
60,128029,"['Fiction', 'Historical Fiction', 'Historical', 'Novels', 'Classics', 'War', 'Adult']",Fiction,Historical Fiction,Historical,Novels,Classics,War,Adult,67.0
61,4981,"['Fiction', 'Science Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels']",Fiction,Science Fiction,Classics,Historical Fiction,War,Literature,Novels,65.0
62,18405,"['Historical Fiction', 'Fiction', 'Romance', 'Classics', 'Historical', 'Literature', 'War']",Historical Fiction,Fiction,Romance,Classics,Historical,Literature,War,66.0
63,24178,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals']",Classics,Fiction,Childrens,Fantasy,Young Adult,Middle Grade,Animals,59.0
64,1618,"['Fiction', 'Mystery', 'Young Adult', 'Classics', 'Autistic Spectrum Disorder', 'Novels', 'Contemporary']",Fiction,Mystery,Young Adult,Classics,Autistic Spectrum Disorder,Novels,Contemporary,60.0
65,22628,"['Young Adult', 'Fiction', 'Coming Of Age', 'Classics', 'Romance', 'Mental Health', 'Realistic Fiction']",Young Adult,Fiction,Coming Of Age,Classics,Romance,Mental Health,Realistic Fiction,68.0
66,11588,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Paranormal', 'Mystery']",Horror,Fiction,Thriller,Classics,Fantasy,Paranormal,Mystery,72.0
67,10917,"['Fiction', 'Chick Lit', 'Young Adult', 'Drama', 'Adult', 'Adult Fiction', 'Realistic Fiction']",Fiction,Chick Lit,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,64.0
68,18490,"['Horror', 'Fiction', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature']",Horror,Fiction,Science Fiction,Gothic,Fantasy,School,Literature,71.0
69,6185,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', 'Historical']",Classics,Fiction,Romance,Gothic,Historical Fiction,Literature,Historical,63.0
70,11735983,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']",Young Adult,Dystopia,Fantasy,Fiction,Science Fiction,Romance,Adventure,69.0
71,375802,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia']",Science Fiction,Fiction,Young Adult,Fantasy,Classics,Science Fiction Fantasy,Dystopia,70.0
72,1381,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature']",Classics,Fiction,Poetry,Mythology,Fantasy,School,Literature,79.0
73,38709,"['Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Classics', 'School', 'Realistic Fiction']",Young Adult,Fiction,Middle Grade,Childrens,Classics,School,Realistic Fiction,77.0
74,157993,"['Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult', 'Literature']",Fiction,Fantasy,Childrens,France,Philosophy,Young Adult,Literature,80.0
75,1656001,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Fiction', 'Dystopia', 'Paranormal']",Young Adult,Fantasy,Science Fiction,Romance,Fiction,Dystopia,Paranormal,73.0
76,227443,"['Fiction', 'Chick Lit', 'Romance', 'Humor', 'Contemporary', 'Comedy', 'Adult']",Fiction,Chick Lit,Romance,Humor,Contemporary,Comedy,Adult,75.0
77,14935,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', 'Classic Literature']",Classics,Fiction,Historical Fiction,Literature,Historical,Audiobook,Classic Literature,76.0
78,99561,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen']",Young Adult,Fiction,Contemporary,Romance,Realistic Fiction,Coming Of Age,Teen,74.0
79,5139,"['Chick Lit', 'Fiction', 'Contemporary', 'Romance', 'Adult', 'Humor', 'Adult Fiction']",Chick Lit,Fiction,Contemporary,Romance,Adult,Humor,Adult Fiction,78.0
80,7677,"['Science Fiction', 'Fiction', 'Thriller', 'Adventure', 'Fantasy', 'Horror', 'Classics']",Science Fiction,Fiction,Thriller,Adventure,Fantasy,Horror,Classics,84.0
81,1953,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School']",Classics,Fiction,Historical Fiction,Literature,Historical,Novels,School,83.0
82,370493,"['Childrens', 'Classics', 'Fiction', 'Picture Books', 'Poetry', 'Young Adult', 'Fantasy']",Childrens,Classics,Fiction,Picture Books,Poetry,Young Adult,Fantasy,85.0
83,1845,"['Nonfiction', 'Biography', 'Adventure', 'Classics', 'Memoir', 'Nature', 'School']",Nonfiction,Biography,Adventure,Classics,Memoir,Nature,School,82.0
84,7445,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club', 'Audiobook']",Nonfiction,Memoir,Biography,Biography Memoir,Autobiography,Book Club,Audiobook,81.0
85,1617,"['Nonfiction', 'Classics', 'Memoir', 'Holocaust', 'Biography', 'School', 'Historical']",Nonfiction,Classics,Memoir,Holocaust,Biography,School,Historical,87.0
86,6186357,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Post Apocalyptic', 'Teen']",Young Adult,Dystopia,Science Fiction,Fiction,Fantasy,Post Apocalyptic,Teen,91.0
87,231804,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Coming Of Age', 'Realistic Fiction']",Classics,Young Adult,Fiction,School,Read For School,Coming Of Age,Realistic Fiction,90.0
88,21787,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']",Fantasy,Classics,Fiction,Romance,Humor,Young Adult,Adventure,89.0
89,32542,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Legal Thriller', 'Mystery Thriller']",Fiction,Thriller,Mystery,Crime,Suspense,Legal Thriller,Mystery Thriller,86.0
90,5060378,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",Fiction,Mystery,Thriller,Crime,Mystery Thriller,Suspense,Contemporary,98.0
91,17245,"['Horror', 'Fiction', 'Fantasy', 'Classics', 'Vampires', 'Gothic', 'Paranormal']",Horror,Fiction,Fantasy,Classics,Vampires,Gothic,Paranormal,97.0
92,6442769,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Mystery', 'Realistic Fiction', 'Coming Of Age']",Young Adult,Fiction,Contemporary,Romance,Mystery,Realistic Fiction,Coming Of Age,88.0
93,2998,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy']",Classics,Fiction,Childrens,Young Adult,Historical Fiction,Middle Grade,Fantasy,93.0
94,11857408,"['Romance', 'Fiction', 'Erotica', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']",Romance,Fiction,Erotica,BDSM,Adult,Contemporary,Contemporary Romance,99.0
95,320,"['Fiction', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Spanish Literature']",Fiction,Magical Realism,Literature,Fantasy,Novels,Historical Fiction,Spanish Literature,94.0
96,1202,"['Nonfiction', 'Economics', 'Business', 'Science', 'Psychology', 'Sociology', 'Finance']",Nonfiction,Economics,Business,Science,Psychology,Sociology,Finance,92.0
97,5297,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels']",Classics,Fiction,Horror,Fantasy,Gothic,Literature,Novels,95.0
98,19543,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']",Picture Books,Childrens,Fiction,Classics,Fantasy,Adventure,Young Adult,102.0
99,13536860,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']",Romance,Erotica,Fiction,BDSM,Adult,Contemporary,Contemporary Romance,96.0
100,3473,"['Romance', 'Fiction', 'Contemporary', 'Young Adult', 'Chick Lit', 'Adult', 'Contemporary Romance']",Romance,Fiction,Contemporary,Young Adult,Chick Lit,Adult,Contemporary Romance,107.0
101,4137,"['Nonfiction', 'Memoir', 'Essays', 'Short Stories', 'Comedy', 'Humor', 'Biography']",Nonfiction,Memoir,Essays,Short Stories,Comedy,Humor,Biography,101.0
102,10572,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Dragons']",Fantasy,Fiction,Epic Fantasy,High Fantasy,Science Fiction Fantasy,Adult,Dragons,110.0
103,9418327,"['Nonfiction', 'Memoir', 'Humor', 'Biography', 'Audiobook', 'Comedy', 'Autobiography']",Nonfiction,Memoir,Humor,Biography,Audiobook,Comedy,Autobiography,106.0
104,24280,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels']",Classics,Fiction,Historical Fiction,Literature,France,Historical,Novels,109.0
105,10441,"['Fiction', 'Contemporary', 'Historical Fiction', 'Adult Fiction', 'Adult', 'Book Club', 'Drama']",Fiction,Contemporary,Historical Fiction,Adult Fiction,Adult,Book Club,Drama,111.0
106,7126,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'Historical', 'France']",Classics,Fiction,Historical Fiction,Adventure,Literature,Historical,France,103.0
107,6288,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Horror', 'Literature', 'Novels']",Fiction,Science Fiction,Dystopia,Post Apocalyptic,Horror,Literature,Novels,104.0
108,2187,"['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Classics', 'Literary Fiction', 'Queer']",Fiction,Historical Fiction,Contemporary,LGBT,Classics,Literary Fiction,Queer,115.0
109,15507958,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'Audiobook']",Romance,Fiction,Contemporary,Chick Lit,Adult,Adult Fiction,Audiobook,112.0
110,18710190,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,105.0
111,7763,"['Fiction', 'Historical Fiction', 'Classics', 'China', 'Contemporary', 'Historical', 'Adult Fiction']",Fiction,Historical Fiction,Classics,China,Contemporary,Historical,Adult Fiction,118.0
112,9416,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Humor', 'Adult', 'Contemporary Romance']",Chick Lit,Fiction,Romance,Contemporary,Humor,Adult,Contemporary Romance,108.0
113,18131,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']",Fantasy,Fiction,Classics,Young Adult,Science Fiction,Childrens,Middle Grade,117.0
114,38447,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']",Fiction,Classics,Dystopia,Science Fiction,Feminism,Fantasy,Adult,119.0
115,452306,"['Young Adult', 'Fiction', 'Chick Lit', 'Contemporary', 'Romance', 'Teen', 'Realistic Fiction']",Young Adult,Fiction,Chick Lit,Contemporary,Romance,Teen,Realistic Fiction,120.0
116,7604,"['Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Literary Fiction']",Fiction,Literature,Russia,Novels,Romance,Russian Literature,Literary Fiction,121.0
117,168668,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'Humor', 'Literature', 'Novels']",Fiction,Historical Fiction,Classics,War,Humor,Literature,Novels,113.0
118,6900,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']",Nonfiction,Memoir,Biography,Classics,Inspirational,Philosophy,Self Help,114.0
119,7937843,"['Fiction', 'Contemporary', 'Adult', 'Thriller', 'Adult Fiction', 'Audiobook', 'Book Club']",Fiction,Contemporary,Adult,Thriller,Adult Fiction,Audiobook,Book Club,124.0
120,2612,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Sociology', 'Science', 'Economics']",Nonfiction,Business,Psychology,Self Help,Sociology,Science,Economics,127.0
121,1420,"['Classics', 'Plays', 'Fiction', 'School', 'Literature', 'Read For School', 'Poetry']",Classics,Plays,Fiction,School,Literature,Read For School,Poetry,125.0
122,24583,"['Classics', 'Fiction', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']",Classics,Fiction,Adventure,Historical Fiction,Young Adult,Literature,Childrens,116.0
123,37442,"['Fantasy', 'Fiction', 'Adult', 'Retellings', 'Science Fiction Fantasy', 'Witches', 'Adult Fiction']",Fantasy,Fiction,Adult,Retellings,Science Fiction Fantasy,Witches,Adult Fiction,122.0
124,11084145,"['Biography', 'Nonfiction', 'Business', 'Technology', 'History', 'Biography Memoir', 'Audiobook']",Biography,Nonfiction,Business,Technology,History,Biography Memoir,Audiobook,128.0
125,332613,"['Fiction', 'Classics', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']",Fiction,Classics,Psychology,Literature,Novels,Mental Health,School,129.0
126,5358,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Legal Thriller', 'Mystery Thriller']",Fiction,Thriller,Mystery,Crime,Suspense,Legal Thriller,Mystery Thriller,123.0
127,8127,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']",Classics,Fiction,Young Adult,Historical Fiction,Childrens,Middle Grade,Audiobook,133.0
128,3431,"['Fiction', 'Contemporary', 'Inspirational', 'Fantasy', 'Classics', 'Spirituality', 'Adult']",Fiction,Contemporary,Inspirational,Fantasy,Classics,Spirituality,Adult,132.0
129,4395,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']",Classics,Fiction,Historical Fiction,Literature,Novels,School,American,131.0
130,234225,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Audiobook', 'Novels']",Science Fiction,Fiction,Fantasy,Science Fiction Fantasy,Classics,Audiobook,Novels,126.0
131,6892870,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary']",Fiction,Mystery,Thriller,Crime,Mystery Thriller,Suspense,Contemporary,140.0
132,3777732,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']",Fantasy,Young Adult,Romance,Paranormal,Urban Fantasy,Fiction,Vampires,134.0
133,18007564,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Thriller']",Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Thriller,141.0
134,9460487,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Historical Fiction']",Fantasy,Young Adult,Fiction,Paranormal,Mystery,Horror,Historical Fiction,139.0
135,10964,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",Historical Fiction,Romance,Fantasy,Fiction,Time Travel,Historical,Historical Romance,137.0
136,5043,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook']",Historical Fiction,Fiction,Historical,Fantasy,Classics,Medieval,Audiobook,142.0
137,137791,"['Fiction', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Southern', 'Adult', 'Historical Fiction']",Fiction,Chick Lit,Contemporary,Adult Fiction,Southern,Adult,Historical Fiction,136.0
138,62291,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Audiobook']",Fantasy,Fiction,Epic Fantasy,Science Fiction Fantasy,High Fantasy,Adult,Audiobook,135.0
